GO,Annotation,p-value,BV- Avg Count,BV- Avg Transformed Abundance,BV+ Avg Count,BV+ Avg Transformed Abundance
unannotated,unannotated,0.08216680407470434,863.2222222222222,0.1249084660278547,735.65,0.1553408157912226
GO:0000003,reproduction,0.45309280787746414,1478.4444444444443,0.20592389069020284,1003.05,0.20456677695778866
GO:0000302,response to reactive oxygen species,0.434475303812457,1513.888888888889,0.2054955455530821,945.9,0.1973035791962648
GO:0000502,proteasome complex,0.37964512916318865,180.44444444444446,0.026784415599484596,129.9,0.027867988687768346
GO:0001101,response to acid chemical,0.0002652900561255269,1272.2222222222222,0.1778369407184502,1260.0,0.2504750001373269
GO:0001666,response to hypoxia,0.0006208567977805025,645.1111111111111,0.093334034043295,355.2,0.07323117506107324
GO:0001817,regulation of cytokine production,0.3271363954043074,977.8888888888889,0.14065758872270392,709.55,0.14935380788714533
GO:0001819,positive regulation of cytokine production,0.3103089732188449,740.1111111111111,0.10760651637992609,501.25,0.10727782926547302
GO:0001932,regulation of protein phosphorylation,0.4905977108645912,2328.0,0.3134729360297357,1598.95,0.3171101945553496
GO:0001933,negative regulation of protein phosphorylation,0.45309280787746414,938.8888888888889,0.1352555725512835,660.35,0.13656954804090884
GO:0002931,response to ischemia,0.2778448951413973,232.0,0.03428643843103882,147.8,0.031040198632158133
GO:0003674,molecular_function,0.2778448951413973,13643.777777777777,1.271979644434837,9638.1,1.2892657287864546
GO:0003779,actin binding,0.02811890193863796,988.8888888888889,0.14173077194691822,582.25,0.11998343249482005
GO:0004857,enzyme inhibitor activity,0.20469774310495942,1319.4444444444443,0.18660688441964116,856.2,0.17844790348653378
GO:0004860,protein kinase inhibitor activity,0.23248823147271802,295.0,0.04364466947358276,218.95,0.04644913298996437
GO:0005080,protein kinase C binding,0.09742532430443479,404.1111111111111,0.058706367537532916,333.6,0.06738725631959555
GO:0005488,binding,0.23248823147271802,12740.555555555555,1.214858300448733,9094.85,1.2414557533833295
GO:0005515,protein binding,0.05714450515660078,10298.222222222223,1.0468733150435847,7599.2,1.0932566241532427
GO:0005575,cellular_component,0.15540599093412205,14092.333333333334,1.2996073909199648,10014.3,1.3221648065858886
GO:0005622,intracellular,0.21833831683744553,13459.555555555555,1.2596634171763093,9501.75,1.27672796355836
GO:0005623,cell,0.17898533632216412,13890.444444444445,1.2869540669661583,9864.9,1.3097429961891986
GO:0005634,nucleus,0.23248823147271802,5127.666666666667,0.6137803804391844,3311.35,0.5782294655705938
GO:0005737,cytoplasm,0.21833831683744553,12775.888888888889,1.2162352343664626,9041.75,1.2342136602407767
GO:0005739,mitochondrion,0.23248823147271802,1059.111111111111,0.15060296709624,687.25,0.1427316328494542
GO:0005759,mitochondrial matrix,0.45309280787746414,313.44444444444446,0.046353082500901706,207.3,0.044980339803751115
GO:0005829,cytosol,0.20469774310495942,10960.333333333334,1.0934677099130554,7851.9,1.120651179262729
GO:0005856,cytoskeleton,0.09742532430443479,7325.0,0.8083676095315931,5666.05,0.8698247026369197
GO:0005886,plasma membrane,0.038549935871770885,6096.888888888889,0.7065988902769452,4609.0,0.756321364085756
GO:0006417,regulation of translation,0.05714450515660078,952.0,0.1352360186081009,534.5,0.11569340712843387
GO:0006446,regulation of translational initiation,0.26225914010653817,589.5555555555555,0.0844019770005036,337.9,0.074938413918235
GO:0006457,protein folding,0.04711582536699446,440.1111111111111,0.06439350450508935,258.2,0.05324918243050948
GO:0006469,negative regulation of protein kinase activity,0.45309280787746414,883.2222222222222,0.12770788870986768,621.6,0.12902693319859454
GO:0006810,transport,0.4905977108645912,5561.111111111111,0.6573003350330304,3850.15,0.6659990899135491
GO:0006886,intracellular protein transport,0.11466597119582378,585.3333333333334,0.08465819396557538,354.7,0.07264408285293128
GO:0006928,movement of cell or subcellular component,0.011118008343902969,3570.5555555555557,0.45548247474029846,3008.6,0.5416352060278723
GO:0006950,response to stress,0.12405727852091031,9363.555555555555,0.9782106274319123,6767.8,1.0126483749929773
GO:0006952,defense response,0.0125723805866787,6337.666666666667,0.7252598666978209,5202.25,0.8246724775126187
GO:0006979,response to oxidative stress,0.4718140111014917,1605.4444444444443,0.21744195284749496,1032.6,0.2138575102450891
GO:0006986,response to unfolded protein,0.0519380785315425,374.55555555555554,0.05500702384371862,222.6,0.04587105491229339
GO:0007017,microtubule-based process,0.3977125031952966,686.7777777777778,0.09908686786922749,456.85,0.09415895758006038
GO:0007018,microtubule-based movement,0.3443227723269383,269.3333333333333,0.039736943876961174,174.45,0.037009794816608
GO:0007154,cell communication,0.0125723805866787,7244.666666666667,0.8048039175006413,5837.4,0.8989648491771083
GO:0007165,signal transduction,0.009812207488319853,6660.222222222223,0.7544959981742779,5411.85,0.851642801306156
GO:0007166,cell surface receptor signaling pathway,0.05714450515660078,4486.222222222223,0.5485830840441049,3498.7,0.6034922751730096
GO:0007167,enzyme linked receptor protein signaling pathway,0.2778448951413973,920.6666666666666,0.13254549046258954,692.7,0.1435989831727376
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,0.3271363954043074,828.6666666666666,0.12007414634943461,610.75,0.12693107469898535
GO:0007275,multicellular organism development,0.015980798707195775,9565.888888888889,0.9921930138417415,7183.9,1.0524302356354385
GO:0007399,nervous system development,0.4160020142863182,1949.888888888889,0.26684778094750594,1338.05,0.2668802018576542
GO:0007565,female pregnancy,0.12405727852091031,316.3333333333333,0.046797204265128595,242.3,0.0543134182685439
GO:0007568,aging,0.0018709519777715606,1753.7777777777778,0.2397675340318729,1701.9,0.327991519217213
GO:0008064,regulation of actin polymerization or depolymerization,0.05714450515660078,314.8888888888889,0.04658136857355905,186.6,0.03925951549835793
GO:0008088,axo-dendritic transport,0.45309280787746414,220.11111111111111,0.03262619200705404,146.65,0.03143289564686068
GO:0008089,anterograde axonal transport,0.36183680491588155,178.77777777777777,0.02659061250927025,130.8,0.028349149998296436
GO:0008092,cytoskeletal protein binding,0.14442218317324246,2207.1111111111113,0.2986771564086339,1374.3,0.27138332529573655
GO:0008104,protein localization,0.16692721721511017,1724.6666666666667,0.23743789743692234,1240.35,0.24394589548436638
GO:0008150,biological_process,0.19157735943701643,13985.111111111111,1.293077550724966,9932.95,1.315101783749323
GO:0008340,determination of adult lifespan,0.16692721721511017,331.0,0.04871908352271595,212.25,0.04537937252746114
GO:0008426,protein kinase C inhibitor activity,0.36183680491588155,269.1111111111111,0.039816683964483054,196.55,0.041479898414136476
GO:0009266,response to temperature stimulus,0.002172273135077184,962.0,0.13749675737521302,453.65,0.09423437239733692
GO:0009408,response to heat,0.002172273135077184,943.2222222222222,0.13496914852284636,444.45,0.09247166052304355
GO:0009409,response to cold,0.4160020142863182,231.88888888888889,0.03433120943323874,160.25,0.03401966532990236
GO:0009605,response to external stimulus,0.37964512916318865,6444.777777777777,0.7364063704564506,4537.45,0.73987501324851
GO:0009607,response to biotic stimulus,0.2938695744793014,5037.444444444444,0.6031248258457647,3639.0,0.6173982941082619
GO:0009612,response to mechanical stimulus,0.14442218317324246,966.0,0.13838866550800968,608.8,0.1241511166978709
GO:0009615,response to virus,0.11466597119582378,444.8888888888889,0.06552651688862234,275.25,0.05779850142422842
GO:0009617,response to bacterium,0.26225914010653817,4630.555555555556,0.5622610827775699,3421.1,0.5874618897819417
GO:0009620,response to fungus,0.2778448951413973,780.0,0.11315155592934373,536.2,0.11392072698973259
GO:0009628,response to abiotic stimulus,0.434475303812457,3868.777777777778,0.48665867884911823,2703.4,0.4901002466917257
GO:0009631,cold acclimation,0.4718140111014917,199.88888888888889,0.029614665219612084,140.3,0.02986779887521232
GO:0009636,response to toxic substance,0.2778448951413973,2703.777777777778,0.356291069558548,1703.0,0.33801259406041717
GO:0009719,response to endogenous stimulus,0.434475303812457,2203.0,0.29897589816694825,1540.0,0.30323444186017723
GO:0009725,response to hormone,0.2938695744793014,1269.5555555555557,0.18027492203132608,846.65,0.17687576291504234
GO:0009889,regulation of biosynthetic process,0.2778448951413973,2974.6666666666665,0.38908533041521304,1905.7,0.3725857554306123
GO:0009891,positive regulation of biosynthetic process,0.4718140111014917,1444.888888888889,0.20108958377176217,960.15,0.19965512135214458
GO:0009892,negative regulation of metabolic process,0.08955459636336105,2927.4444444444443,0.3842869082373995,1882.75,0.3621179157645448
GO:0009893,positive regulation of metabolic process,0.15540599093412205,3743.3333333333335,0.47568202209795957,2411.2,0.45225896200360427
GO:0009894,regulation of catabolic process,0.0016081146550637245,1074.2222222222222,0.15251169975938772,614.45,0.12520431903121063
GO:0009966,regulation of signal transduction,0.16692721721511017,2351.222222222222,0.31565163106044947,1530.05,0.30112392416491335
GO:0009968,negative regulation of signal transduction,0.03129817241176085,958.1111111111111,0.1376090931652038,594.6,0.12195974431404924
GO:0009987,cellular process,0.11466597119582378,13180.0,1.2424174729750868,9556.2,1.2822231105275446
GO:0009991,response to extracellular stimulus,0.10579194739889292,769.5555555555555,0.11151014869328993,495.15,0.10388550867169748
GO:0010033,response to organic substance,0.03129817241176085,4837.888888888889,0.5884860484155185,3608.1,0.6326947048210613
GO:0010035,response to inorganic substance,0.4718140111014917,2396.222222222222,0.31618131913863085,1556.55,0.31149314294213043
GO:0010243,response to organonitrogen compound,0.4905977108645912,1641.5555555555557,0.22862064918301606,1171.35,0.23650390568707005
GO:0010259,multicellular organism aging,0.17898533632216412,331.1111111111111,0.04873398885993325,213.25,0.04558538839532987
GO:0010468,regulation of gene expression,0.19157735943701643,4162.666666666667,0.5202464814684844,2701.45,0.5006453268283281
GO:0010506,regulation of autophagy,0.14442218317324246,328.6666666666667,0.04833967650091477,201.85,0.04244572618422624
GO:0010556,regulation of macromolecule biosynthetic process,0.19157735943701643,2497.3333333333335,0.33324637876868696,1564.45,0.3121441814310052
GO:0010557,positive regulation of macromolecule biosynthetic process,0.14442218317324246,648.6666666666666,0.0937437019825989,473.6,0.09864801500081935
GO:0010563,negative regulation of phosphorus metabolic process,0.434475303812457,994.3333333333334,0.14281414827336053,694.6,0.14304775638628137
