Sample,Pyruvate,Formate,Mass
NYCIII,0 mmol,-0.17569,
NYCIII,10 mmol,-0.13431,
NYCIII,100 mmol,-0.25845,
ATCC33197,0 mmol,-0.02069,-0.02069
ATCC33197,0 mmol,0.08276,0.08276
ATCC33197,0 mmol,-0.08276,-0.08276
ATCC33197,10 mmol,-0.31035,-0.3134535
ATCC33197,10 mmol,0.02069,0.0208969
ATCC33197,10 mmol,-0.16552,-0.1671752
ATCC33197,100 mmol,-0.22759,-0.250349
ATCC33197,100 mmol,-0.10345,-0.113795
ATCC33197,100 mmol,2.33E-15,2.56462E-15
DSM13335,0 mmol,-0.18621,-0.18621
DSM13335,0 mmol,-0.26897,-0.26897
DSM13335,0 mmol,-0.22759,-0.22759
DSM13335,10 mmol,-0.37242,-0.3761442
DSM13335,10 mmol,-0.06207,-0.0626907
DSM13335,10 mmol,-0.16552,-0.1671752
DSM13335,100 mmol,-0.2069,-0.22759
DSM13335,100 mmol,-0.06207,-0.068277
DSM13335,100 mmol,0.14483,0.159313
ATCC14018,0 mmol,-0.04138,-0.04138
ATCC14018,0 mmol,-0.31035,-0.31035
ATCC14018,0 mmol,-0.33104,-0.33104
ATCC14018,10 mmol,-0.22759,-0.2298659
ATCC14018,10 mmol,-0.37242,-0.3761442
ATCC14018,10 mmol,-0.10345,-0.1044845
ATCC14018,100 mmol,-0.10345,-0.113795
ATCC14018,100 mmol,-0.31035,-0.341385
ATCC14018,100 mmol,-0.2069,-0.22759
DSM15829,0 mmol,1.90348,1.90348
DSM15829,0 mmol,1.63451,1.63451
DSM15829,0 mmol,2.17245,2.17245
DSM15829,10 mmol,2.52418,2.5494218
DSM15829,10 mmol,1.63451,1.6508551
DSM15829,10 mmol,1.98624,2.0061024
DSM15829,100 mmol,3.76558,4.142138
DSM15829,100 mmol,4.01386,4.415246
DSM15829,100 mmol,1.98624,2.184864
pBHI,0 mmol,-0.38259,
pBHI,10 mmol,-0.29983,
pBHI,100 mmol,-0.32052,
DSM16631,0 mmol,12.95194,12.95194
DSM16631,0 mmol,13.11746,13.11746
DSM16631,0 mmol,12.16572,12.16572
DSM16631,10 mmol,13.20022,13.3322222
DSM16631,10 mmol,16.26234,16.4249634
DSM16631,10 mmol,16.07613,16.2368913
DSM16631,100 mmol,17.89685,19.686535
DSM16631,100 mmol,19.22101,21.143111
DSM16631,100 mmol,17.68995,19.458945
