,Strain,Hypophosphite,OD600,Hours,Delta OD600,Percent Growth
0,L. crispatus ATCC33197,0 mM,1.048,48.0,0.8260000000000001,98.0997624703088
1,L. crispatus ATCC33197,0 mM,1.044,48.0,0.841,99.8812351543943
2,L. crispatus ATCC33197,0 mM,1.107,48.0,0.859,102.0190023752969
3,L. crispatus ATCC33197,1 mM,1.097,48.0,0.856,101.66270783847982
4,L. crispatus ATCC33197,1 mM,1.052,48.0,0.8140000000000001,96.67458432304039
5,L. crispatus ATCC33197,1 mM,1.033,48.0,0.7839999999999999,93.11163895486935
6,L. crispatus ATCC33197,10 mM,1.092,48.0,0.901,107.00712589073635
7,L. crispatus ATCC33197,10 mM,1.04,48.0,0.785,93.23040380047507
8,L. crispatus ATCC33197,10 mM,1.053,48.0,0.844,100.2375296912114
9,L. crispatus ATCC33197,25 mM,0.911,48.0,0.7090000000000001,84.20427553444182
10,L. crispatus ATCC33197,25 mM,1.011,48.0,0.7589999999999999,90.14251781472683
11,L. crispatus ATCC33197,25 mM,0.996,48.0,0.756,89.78622327790974
0,L. iners DSM13335,0 mM,0.988,48.0,0.821,99.9594155844156
1,L. iners DSM13335,0 mM,0.976,48.0,0.8059999999999999,98.1331168831169
2,L. iners DSM13335,0 mM,1.011,48.0,0.837,101.90746753246755
3,L. iners DSM13335,1 mM,0.949,48.0,0.7779999999999999,94.72402597402598
4,L. iners DSM13335,1 mM,0.971,48.0,0.7969999999999999,97.03733766233768
5,L. iners DSM13335,1 mM,0.965,48.0,0.7949999999999999,96.79383116883118
6,L. iners DSM13335,10 mM,0.9,48.0,0.7250000000000001,88.27110389610394
7,L. iners DSM13335,10 mM,0.907,48.0,0.7330000000000001,89.2451298701299
8,L. iners DSM13335,10 mM,0.906,48.0,0.741,90.21915584415586
9,L. iners DSM13335,25 mM,0.775,48.0,0.607,73.9042207792208
10,L. iners DSM13335,25 mM,0.827,48.0,0.6639999999999999,80.84415584415585
11,L. iners DSM13335,25 mM,0.766,48.0,0.596,72.56493506493507
0,L. gasseri DSM20243,0 mM,0.99,48.0,0.776,97.73299748110831
1,L. gasseri DSM20243,0 mM,0.974,48.0,0.786,98.99244332493703
2,L. gasseri DSM20243,0 mM,1.022,48.0,0.8200000000000001,103.27455919395467
