id,protein,taxa,e-value
WP_038352890.1, MULTISPECIES: anaerobic carbon-monoxide dehydrogenase catalytic subunit,Eubacterium sp,0.0
WP_058695443.1, MULTISPECIES: anaerobic carbon-monoxide dehydrogenase catalytic subunit,Eubacterium sp,0.0
WP_005376668.1, anaerobic carbon-monoxide dehydrogenase catalytic subunit,Veillonella atypica,1.55e-104
WP_060807674.1, anaerobic carbon-monoxide dehydrogenase catalytic subunit,Veillonella atypica,1.63e-104
WP_005381535.1, anaerobic carbon-monoxide dehydrogenase catalytic subunit,Veillonella atypica,6.51e-104
WP_016476130.1, MULTISPECIES: anaerobic carbon-monoxide dehydrogenase catalytic subunit,Veillonella atypica,3.65e-103
WP_119982419.1, anaerobic carbon-monoxide dehydrogenase catalytic subunit,Veillonella atypica,4.30e-103
WP_118354251.1, anaerobic carbon-monoxide dehydrogenase catalytic subunit,Veillonella atypica,2.86e-102
WP_156930885.1, anaerobic carbon-monoxide dehydrogenase catalytic subunit,Veillonella atypica,1.27e-101
WP_082709407.1, anaerobic carbon-monoxide dehydrogenase catalytic subunit,Megasphaera lornae,5.54e-101
WP_154254662.1, MULTISPECIES: anaerobic carbon-monoxide dehydrogenase catalytic subunit,Megasphaera lornae,8.05e-101
WP_075712556.1, anaerobic carbon-monoxide dehydrogenase catalytic subunit,Eubacterium sp,1.04e-97
WP_050641648.1, MULTISPECIES: anaerobic carbon-monoxide dehydrogenase catalytic subunit,Eubacterium sp,5.87e-80
WP_004828293.1, hydroxylamine reductase,Anaerococcus lactolyticus,1.21e-06
WP_037328445.1, hydroxylamine reductase,Anaerococcus lactolyticus,1.52e-06
