Protein,p-value,BV- Avg Count,BV- Avg Transformed Abundance,BV- StDev,BV+ Avg Count,BV+ Avg Transformed Abundance,BV+ StDev,delta
60S ribosomal protein L29,5.09E-13,2.444444444,0.000363878,7.96E-05,0.05,7.01E-06,3.09E-05,-2.394444444
Ladinin-1,1.94E-10,1.333333333,0.000191739,0.000140367,0,0,0,-1.333333333
Leukocyte elastase inhibitor,2.82E-10,12.33333333,0.001864104,0.000970567,0.55,0.000115939,0.000189014,-11.78333333
Transgelin-3,5.41E-10,3.222222222,0.000481649,0.000255382,0.2,2.95E-05,9.83E-05,-3.022222222
Specifically androgen-regulated gene protein,1.23E-09,5.666666667,0.000865463,0.000642688,0.2,3.14E-05,8.11E-05,-5.466666667
Perilipin-3,3.60E-09,7.444444444,0.001085606,0.000575271,0.75,0.000118952,0.000319446,-6.694444444
Actin-binding LIM protein 1,5.98E-09,2.111111111,0.0003134,0.000206046,0.15,2.95E-05,9.15E-05,-1.961111111
Catenin alpha-2,6.47E-09,0.777777778,0.000111029,8.57E-05,0,0,0,-0.777777778
Transmembrane protein 40,6.47E-09,0.888888889,0.00013554,0.000117444,0,0,0,-0.888888889
Rootletin,6.47E-09,1,0.000143978,0.000117812,0,0,0,-1
Pyruvate kinase PKLR,6.47E-09,1.333333333,0.000198603,0.000199902,0,0,0,-1.333333333
LIM domain only protein 7,9.94E-09,13.44444444,0.002002686,0.000798206,1.85,0.000364065,0.000439572,-11.59444444
Neuroblast differentiation-associated protein AHNAK,1.24E-08,45.11111111,0.006716138,0.003422849,7.1,0.001447365,0.001311186,-38.01111111
Involucrin,1.59E-08,55.22222222,0.008098987,0.004109733,3.85,0.000779242,0.000847049,-51.37222222
Transgelin-2,2.16E-08,6.777777778,0.001009714,0.000319899,1.4,0.000262041,0.000264418,-5.377777778
Zinc finger protein 185,2.48E-08,32.77777778,0.004941867,0.002943488,4.65,0.000830583,0.000980821,-28.12777778
Glyceraldehyde-3-phosphate dehydrogenase,2.67E-08,71.44444444,0.010584656,0.001845959,21.8,0.004244613,0.003336293,-49.64444444
"Malate dehydrogenase, cytoplasmic",2.90E-08,1.333333333,0.000206816,0.000117507,0.15,2.45E-05,5.97E-05,-1.183333333
Small proline-rich protein 3,3.16E-08,67.33333333,0.010138339,0.006543074,5.3,0.00106281,0.001173046,-62.03333333
Target of Myb protein 1,3.17E-08,3.111111111,0.000453795,0.000319035,0.25,4.89E-05,8.88E-05,-2.861111111
Superoxide dismutase [Cu-Zn],3.89E-08,9.333333333,0.001424911,0.000659398,15.1,0.003647566,0.001988909,5.766666667
Cornifelin,5.15E-08,2.666666667,0.000402275,0.00036821,0.15,2.44E-05,7.73E-05,-2.516666667
Nucleoside diphosphate kinase B,5.43E-08,1.777777778,0.000269161,0.000297998,5.35,0.001282847,0.000994392,3.572222222
Heterogeneous nuclear ribonucleoproteins A2/B1,7.71E-08,8.888888889,0.001333276,0.000664412,1.3,0.000236814,0.000337623,-7.588888889
Myotrophin,1.03E-07,1.444444444,0.000214844,0.000109666,0.15,3.50E-05,8.47E-05,-1.294444444
Suprabasin,1.11E-07,18.11111111,0.002751155,0.00247075,2,0.000391875,0.000469767,-16.11111111
"6-phosphogluconate dehydrogenase, decarboxylating",1.17E-07,13.88888889,0.002077684,0.00037609,5.15,0.001040847,0.000582393,-8.738888889
Catechol O-methyltransferase,1.25E-07,1.555555556,0.000235874,0.000204618,0.1,1.83E-05,5.56E-05,-1.455555556
Drebrin-like protein,1.26E-07,9.333333333,0.001387621,0.000535767,2,0.000376674,0.000418762,-7.333333333
Nucleoside diphosphate kinase A,1.61E-07,1.666666667,0.000252896,0.000264679,4.55,0.001102767,0.000768612,2.883333333
